,_id,category_code,country_code,founded_year,geoloc,latitude,longitude,name,number_of_employees,total_money_raised,total_offices,nearest_offices,ranking
32,5d277baf5370f8e6fc94d8ba,advertising,USA,2004,"{'type': 'Point', 'coordinates': [-121.948399, 37.32052]}",37.32052,-121.948399,BlueLithium,135,$11.5M,1,3,1.5
118,5d277baf5370f8e6fc94d910,games_video,DEU,2006,"{'type': 'Point', 'coordinates': [6.921546, 50.945289]}",50.945289,6.921546,sevenload,67,€25M,1,3,1.5
31,5d277baf5370f8e6fc94d8b9,advertising,USA,2004,"{'type': 'Point', 'coordinates': [-73.992463, 40.748901]}",40.748901,-73.992463,Adknowledge,300,$248M,9,3,1.5
43,5d277baf5370f8e6fc94d8c5,enterprise,USA,2003,"{'type': 'Point', 'coordinates': [-122.285714, 37.557637]}",37.557637,-122.285714,Zimbra,200,$14.5M,1,3,1.5
37,5d277baf5370f8e6fc94d8bf,advertising,CAN,2004,"{'type': 'Point', 'coordinates': [-79.3953743, 43.6474554]}",43.6474554,-79.3953743,Adknowledge,300,$248M,9,3,1.5
236,5d277baf5370f8e6fc94d986,enterprise,USA,2006,"{'type': 'Point', 'coordinates': [-3.2151393, 55.9485591]}",55.9485591,-3.2151393,Maxymiser,250,£14M,1,3,1.5
46,5d277baf5370f8e6fc94d8c8,ecommerce,USA,2005,"{'type': 'Point', 'coordinates': [-122.40414, 37.792968]}",37.792968,-122.40414,Blurb,150,$21.6M,1,2,1.0
86,5d277baf5370f8e6fc94d8f0,design,AUS,2008,"{'type': 'Point', 'coordinates': [144.9868546, -37.8026587]}",-37.8026587,144.9868546,99designs,100,$35M,3,2,1.0
205,5d277baf5370f8e6fc94d967,software,USA,2004,"{'type': 'Point', 'coordinates': [-122.331308, 47.611827]}",47.611827,-122.331308,Medio,90,$30M,1,2,1.0
207,5d277baf5370f8e6fc94d969,enterprise,USA,2006,"{'type': 'Point', 'coordinates': [-122.334732, 47.544341]}",47.544341,-122.334732,Skytap,200,$23M,1,2,1.0
217,5d277baf5370f8e6fc94d973,software,USA,2003,"{'type': 'Point', 'coordinates': [-122.398126, 37.791128]}",37.791128,-122.398126,Bomgar,150,$11M,5,2,1.0
56,5d277baf5370f8e6fc94d8d2,advertising,USA,2006,"{'type': 'Point', 'coordinates': [-83.733276, 42.277416]}",42.277416,-83.733276,MyBuys,120,$40.8M,2,2,1.0
22,5d277baf5370f8e6fc94d8b0,mobile,SWE,2006,"{'type': 'Point', 'coordinates': [18.1582777, 59.3167843]}",59.3167843,18.1582777,Rebtel,75,$20M,1,2,1.0
221,5d277baf5370f8e6fc94d977,enterprise,USA,2004,"{'type': 'Point', 'coordinates': [-122.404113, 37.789471]}",37.789471,-122.404113,Birst,150,$64M,1,2,1.0
62,5d277baf5370f8e6fc94d8d8,advertising,USA,2005,"{'type': 'Point', 'coordinates': [-111.924855, 33.464377]}",33.464377,-111.924855,Yodle,1000,$40M,5,2,1.0
61,5d277baf5370f8e6fc94d8d7,advertising,USA,2005,"{'type': 'Point', 'coordinates': [-80.916109, 35.139441]}",35.139441,-80.916109,Yodle,1000,$40M,5,2,1.0
212,5d277baf5370f8e6fc94d96e,ecommerce,BRA,2009,"{'type': 'Point', 'coordinates': [-46.6388182, -23.5489433]}",-23.5489433,-46.6388182,Brandsclub,140,$17M,1,2,1.0
191,5d277baf5370f8e6fc94d959,enterprise,USA,2005,"{'type': 'Point', 'coordinates': [-122.402844, 37.791402]}",37.791402,-122.402844,Clarabridge,150,$84.3M,3,2,1.0
77,5d277baf5370f8e6fc94d8e7,web,USA,2006,"{'type': 'Point', 'coordinates': [-82.3230981, 29.6502461]}",29.6502461,-82.3230981,Grooveshark,113,$4.44M,1,2,1.0
76,5d277baf5370f8e6fc94d8e6,games_video,USA,2011,"{'type': 'Point', 'coordinates': [-118.4054182, 34.0698494]}",34.0698494,-118.4054182,Social Gaming Network,100,$17.1M,2,2,1.0
200,5d277baf5370f8e6fc94d962,photo_video,USA,2007,"{'type': 'Point', 'coordinates': [-105.352174, 39.661171]}",39.661171,-105.352174,Qualvu,80,$2.6M,1,2,1.0
